Aaron,Ciammaglichella,Aaron Ciammaglichella,Aaron Ciammaglichella,#17,"Jan 26, 2005",Italy,Torino  ,"1,80 m",Italy,midfield - Central Midfield,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/torino-primavera/startseite/verein/,Italy U19,right,0
Aaron,Connolly,Aaron Connolly,Aaron Connolly,#44,"Jan 28, 2000",Ireland,Galway  ,"1,74 m",Ireland,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/434207-1614851750.jpg?lm=1,/hull-city/startseite/verein/,,right,3500000
Aaron,Cresswell,Aaron Cresswell,Aaron Cresswell,#3,"Dec 15, 1989",England,Liverpool  ,,England,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/92571-1467723523.jpg?lm=1,/west-ham-united/startseite/verein/,,left,1200000
Aaron,Donnelly,Aaron Donnelly,Aaron Donnelly,#25,"Jun 8, 2003",Northern Ireland,Magherafelt  ,"1,85 m",Northern Ireland,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/dundee-fc/startseite/verein/,N. Ireland U21,left,400000
Aaron,Hickey,Aaron Hickey,Aaron Hickey,#2,"Jun 10, 2002",Scotland,Glasgow  ,"1,85 m",Scotland,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/591949-1684772165.jpg?lm=1,/brentford-fc/startseite/verein/,,both,30000000
Aarón,Martín,Aarón Martín,Aaron Martin,#3,"Apr 22, 1997",Spain,Montmeló  ,"1,80 m",Spain,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/251878-1657706867.jpg?lm=1,/genoa-cfc/startseite/verein/,,left,7000000
Aaron,Ramsdale,Aaron Ramsdale,Aaron Ramsdale,#1,"May 14, 1998",England,Chesterton  ,"1,90 m",England,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/427568-1681828000.jpg?lm=1,/arsenal-fc/startseite/verein/,England,right,32000000
Aaron,Ramsey,Aaron Ramsey,Aaron Ramsey,#10,"Dec 26, 1990",Wales,Caerphilly  ,"1,78 m",Wales,midfield - Central Midfield,https://img.a.transfermarkt.technology/portrait/header/50057-1518795716.jpg?lm=1,/cardiff-city/startseite/verein/,,right,2500000
Aaron,Wan-Bissaka,Aaron Wan-Bissaka,Aaron Wan-Bissaka,#29,"Nov 26, 1997",England,London  ,"1,83 m",England,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/477758-1617030255.jpg?lm=1,/manchester-united/startseite/verein/,,right,25000000
Aaron,Zehnter,Aaron Zehnter,Aaron Zehnter,#42,"Oct 31, 2004",Germany,Sonderhofen  ,"1,80 m",Germany,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/730484-1658599762.jpg?lm=1,/fc-augsburg/startseite/verein/,,left,300000
Abdallah,Sima,Abdallah Sima,Abdallah Sima,#19,"Jun 17, 2001",Senegal,Dakar  ,"1,88 m",Senegal,Attack - Right Winger,https://img.a.transfermarkt.technology/portrait/header/776798-1672669896.jpg?lm=1,/rangers-fc/startseite/verein/,,right,6000000
