1,Bundesliga,Augsburg
2,Bundesliga,Bayern Munich
3,Bundesliga,Bochum
4,Bundesliga,Dortmund
5,Bundesliga,Eint Frankfurt
6,Bundesliga,Freiburg
7,Bundesliga,Hertha BSC
8,Bundesliga,Hoffenheim
9,Bundesliga,Köln
10,Bundesliga,Leverkusen
11,Bundesliga,M'Gladbach
12,Bundesliga,Mainz 05
13,Bundesliga,RB Leipzig
14,Bundesliga,Schalke 04
15,Bundesliga,Stuttgart
16,Bundesliga,Union Berlin
17,Bundesliga,Werder Bremen
18,Bundesliga,Wolfsburg
19,FIFA World Cup,Argentina
20,FIFA World Cup,Australia
21,FIFA World Cup,Belgium
22,FIFA World Cup,Brazil
23,FIFA World Cup,Cameroon
24,FIFA World Cup,Canada
25,FIFA World Cup,Costa Rica
26,FIFA World Cup,Croatia
27,FIFA World Cup,Denmark
28,FIFA World Cup,Ecuador
29,FIFA World Cup,England
30,FIFA World Cup,France
31,FIFA World Cup,Germany
32,FIFA World Cup,Ghana
33,FIFA World Cup,Iran
34,FIFA World Cup,Japan
35,FIFA World Cup,Korea Republic
36,FIFA World Cup,Mexico
37,FIFA World Cup,Morocco
38,FIFA World Cup,Netherlands
39,FIFA World Cup,Poland
40,FIFA World Cup,Portugal
41,FIFA World Cup,Qatar
42,FIFA World Cup,Saudi Arabia
43,FIFA World Cup,Senegal
44,FIFA World Cup,Serbia
45,FIFA World Cup,Spain
46,FIFA World Cup,Switzerland
47,FIFA World Cup,Tunisia
48,FIFA World Cup,United States
49,FIFA World Cup,Uruguay
50,FIFA World Cup,Wales
51,La Liga,Almería
52,La Liga,Athletic Club
53,La Liga,Atlético Madrid
54,La Liga,Barcelona
55,La Liga,Betis
56,La Liga,Celta Vigo
57,La Liga,Cádiz
58,La Liga,Elche
59,La Liga,Espanyol
60,La Liga,Getafe
61,La Liga,Girona
62,La Liga,Mallorca
63,La Liga,Osasuna
64,La Liga,Rayo Vallecano
65,La Liga,Real Madrid
66,La Liga,Real Sociedad
67,La Liga,Sevilla
68,La Liga,Valencia
69,La Liga,Valladolid
70,La Liga,Villarreal
71,Ligue 1,Ajaccio
72,Ligue 1,Angers
73,Ligue 1,Auxerre
74,Ligue 1,Brest
75,Ligue 1,Clermont Foot
76,Ligue 1,Lens
77,Ligue 1,Lille
78,Ligue 1,Lorient
79,Ligue 1,Lyon
80,Ligue 1,Marseille
81,Ligue 1,Monaco
82,Ligue 1,Montpellier
83,Ligue 1,Nantes
84,Ligue 1,Nice
85,Ligue 1,Paris S-G
86,Ligue 1,Reims
87,Ligue 1,Rennes
88,Ligue 1,Strasbourg
89,Ligue 1,Toulouse
90,Ligue 1,Troyes
91,Premier League,Arsenal
92,Premier League,Aston Villa
93,Premier League,Bournemouth
94,Premier League,Brentford
95,Premier League,Brighton
96,Premier League,Chelsea
97,Premier League,Crystal Palace
98,Premier League,Everton
99,Premier League,Fulham
100,Premier League,Leeds United
101,Premier League,Leicester City
102,Premier League,Liverpool
103,Premier League,Manchester City
104,Premier League,Manchester Utd
105,Premier League,Newcastle Utd
106,Premier League,Nott'ham Forest
107,Premier League,Southampton
108,Premier League,Tottenham
109,Premier League,West Ham
110,Premier League,Wolves
111,Serie A,Atalanta
112,Serie A,Bologna
113,Serie A,Cremonese
114,Serie A,Empoli
115,Serie A,Fiorentina
116,Serie A,Hellas Verona
117,Serie A,Inter
118,Serie A,Juventus
119,Serie A,Lazio
120,Serie A,Lecce
121,Serie A,Milan
122,Serie A,Monza
123,Serie A,Napoli
124,Serie A,Roma
125,Serie A,Salernitana
126,Serie A,Sampdoria
127,Serie A,Sassuolo
128,Serie A,Spezia
129,Serie A,Torino
130,Serie A,Udinese
131,UEFA Champions League,Ajax
132,UEFA Champions League,Benfica
133,UEFA Champions League,Celtic
135,UEFA Champions League,Club Brugge
136,UEFA Champions League,Dinamo Zagreb
137,UEFA Champions League,FC Copenhagen
138,UEFA Champions League,Maccabi Haifa
139,UEFA Champions League,Porto
140,UEFA Champions League,Rangers
141,UEFA Champions League,Shakhtar
142,UEFA Champions League,Sporting CP
143,UEFA Champions League,Viktoria Plzeň
144,UEFA Champions League,RB Salzburg
